method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
gnn_dqn_r0.15,137,0,95,-7.7623561271210555,17.762356127121055,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,138,0,96,-5.170359438950765,15.170359438950765,15,15,1,0,4.0,10.0,1.0
gnn_dqn_r0.15,139,0,97,-5.919498939443956,15.919498939443956,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,140,0,98,-6.555358087055875,16.555358087055875,15,15,1,0,9.0,5.0,1.0
gnn_dqn_r0.15,141,0,99,-6.254308740249655,16.254308740249655,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0.3,42,0,0,-12.475727737005023,22.475727737005023,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.3,43,0,1,6.35721558559495,13.64278441440505,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,44,0,2,-0.6608892831955337,20.660889283195534,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.3,45,0,3,4.577603983516603,15.422396016483397,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.3,46,0,4,-10.53316116698094,20.53316116698094,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.3,47,0,5,3.7942324042248785,16.20576759577512,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.3,48,0,6,-4.115242146817039,14.115242146817039,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.3,49,0,7,-0.07761231799595691,20.077612317995957,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.3,50,0,8,4.862792384095867,15.137207615904133,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,51,0,9,5.325715254645921,14.674284745354079,15,15,1,0,4.0,11.0,0.0
gnn_dqn_r0.3,52,0,10,-7.073934841119815,17.073934841119815,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0.3,53,0,11,1.041609920729389,18.95839007927061,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.3,54,0,12,-6.015392406531717,26.015392406531717,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,55,0,13,4.240491113647963,15.759508886352037,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.3,56,0,14,2.9558906213949747,17.044109378605025,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.3,57,0,15,4.474418949367333,15.525581050632667,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.3,58,0,16,-8.09497718555242,18.09497718555242,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.3,59,0,17,-1.6035213296243072,21.603521329624307,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,60,0,18,-13.558181410549253,23.558181410549253,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.3,61,0,19,-8.534414765860415,18.534414765860415,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.3,62,0,20,5.276825531631779,14.72317446836822,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.3,63,0,21,3.513107700323836,16.486892299676164,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,64,0,22,5.942269233403515,14.057730766596485,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.3,65,0,23,6.688110018059538,13.311889981940462,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,66,0,24,-3.273041777706478,13.273041777706478,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0.3,67,0,25,-26.87634383188266,26.87634383188266,15,15,1,0,5.0,8.0,2.0
gnn_dqn_r0.3,68,0,26,1.928224283685605,18.071775716314395,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.3,69,0,27,0.09367850673678646,19.906321493263214,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,70,0,28,3.1150989888554186,16.88490101114458,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.3,71,0,29,1.1240031898056984,18.8759968101943,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.3,72,0,30,-8.768149600089277,18.768149600089277,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.3,73,0,31,0.35853947444604994,19.641460525553953,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.3,74,0,32,-3.0704290558573675,23.070429055857367,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.3,75,0,33,-14.709851421478177,24.709851421478177,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.3,76,0,34,-15.927518756367757,15.927518756367757,15,15,1,0,8.0,5.0,2.0
gnn_dqn_r0.3,77,0,35,-4.795279823897721,14.79527982389772,15,15,1,0,5.0,9.0,1.0
gnn_dqn_r0.3,78,0,36,6.516228486002294,13.483771513997706,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0.3,79,0,37,-5.93399689635898,15.93399689635898,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.3,80,0,38,8.091957946799727,11.908042053200273,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.3,81,0,39,-4.305627843141991,14.305627843141991,15,15,1,0,4.0,10.0,1.0
gnn_dqn_r0.3,82,0,40,-3.8334078390036908,13.83340783900369,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0.3,83,0,41,1.7814454866537943,18.218554513346206,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,84,0,42,3.89090013685205,16.10909986314795,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.3,85,0,43,5.696385713846045,14.303614286153955,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.3,86,0,44,3.3220920659393087,16.67790793406069,15,15,1,0,4.0,11.0,0.0
gnn_dqn_r0.3,87,0,45,-0.7298298830314529,20.729829883031453,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.3,88,0,46,1.4596746219624528,18.540325378037547,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.3,89,0,47,-18.984335299870278,18.984335299870278,15,15,1,0,6.0,7.0,2.0
gnn_dqn_r0.3,90,0,48,-0.30399588130610056,20.3039958813061,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.3,91,0,49,-0.7393143259092163,20.73931432590922,15,15,1,0,8.0,7.0,0.0
