method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
greedy,101,0,59,-74.62090532163305,14.62090532163306,15,15,1,0,6.0,1.0,8.0
greedy,102,0,60,-32.40930924596642,12.409309245966417,15,15,1,0,6.0,5.0,4.0
greedy,103,0,61,-83.68760929222901,13.687609292229013,15,15,1,0,4.0,2.0,9.0
greedy,104,0,62,-61.4926291382815,11.492629138281494,15,15,1,0,7.0,1.0,7.0
greedy,105,0,63,-38.27667363355773,8.276673633557724,15,15,1,0,6.0,4.0,5.0
greedy,106,0,64,-72.89845764668,12.89845764668,15,15,1,0,5.0,2.0,8.0
greedy,107,0,65,-48.63554676515663,18.635546765156633,15,15,1,0,6.0,4.0,5.0
greedy,108,0,66,-34.2743999345629,14.2743999345629,15,15,1,0,6.0,5.0,4.0
greedy,109,0,67,-54.7852373180094,14.7852373180094,15,15,1,0,7.0,2.0,6.0
greedy,110,0,68,-48.77189346615178,8.77189346615178,15,15,1,0,6.0,3.0,6.0
greedy,111,0,69,-73.91171618369614,13.911716183696141,15,15,1,0,4.0,3.0,8.0
greedy,112,0,70,-17.09360406755398,7.093604067553979,15,15,1,0,10.0,2.0,3.0
greedy,113,0,71,-55.91213159097815,15.912131590978152,15,15,1,0,6.0,3.0,6.0
greedy,114,0,72,-77.23611006365311,17.23611006365312,15,15,1,0,2.0,5.0,8.0
greedy,115,0,73,-64.83193878677895,14.831938786778956,15,15,1,0,6.0,2.0,7.0
greedy,116,0,74,-112.21467994698975,12.21467994698974,15,15,1,0,2.0,1.0,12.0
greedy,117,0,75,-60.829956498060454,10.829956498060445,15,15,1,0,5.0,3.0,7.0
greedy,118,0,76,-50.34220429305789,10.342204293057886,15,15,1,0,6.0,3.0,6.0
greedy,119,0,77,-102.77841087584305,12.778410875843045,15,15,1,0,3.0,1.0,11.0
greedy,120,0,78,-39.905213090566306,9.90521309056631,15,15,1,0,6.0,4.0,5.0
greedy,121,0,79,-88.46656774902401,8.466567749023994,15,15,1,0,3.0,2.0,10.0
greedy,122,0,80,-53.85550724164416,13.855507241644158,15,15,1,0,7.0,2.0,6.0
greedy,123,0,81,-54.43167329178184,14.431673291781841,15,15,1,0,5.0,4.0,6.0
greedy,124,0,82,-67.72722879246245,17.727228792462462,15,15,1,0,6.0,2.0,7.0
